,0,1, 
16796,DSM 107301,"['1', '693']",Salmonella enterica subsp. enterica
16797,DSM 90,"['1', '7', '90', '129', '189', '298a', '364', '381', '457', '490', '516', '628', '740', '830', 'J22', 'J30']",Priestia megaterium
16798,DSM 41943,"['65', '84', '252', 'J50']",Streptomyces avicenniae
16799,DSM 4997,['90'],Apiognomonia errabunda
16800,DSM 24414,['119'],Methanothermobacter sp.
16801,DSM 8572,['220'],Serratia plymuthica
16802,DSM 30011,"['1', '693']",Acinetobacter baumannii
16803,DSM 51317,['9'],Corallococcus coralloides
16804,DSM 25250,['514'],Gayadomonas joobiniege
16805,DSM 18501,['92'],Phycicola sp.
16806,DSM 28394,['514'],Exiguobacterium sp.
16807,DSM 10618,"['1', '92', '381', '514', '693']",Escherichia coli
16808,DSM 29854,['830'],Rufibacter quisquiliarum
16809,DSM 23461,['92'],Cellulomonas sp.
16810,DSM 107510,['381'],Rhodococcus sp.
16811,DSM 103381,"['514', '1159', '1240', 'J1156']",Glycomyces fuscus
16812,DSM 11375,"['1', '693', '1593', 'J14']",Campylobacter lari subsp. lari
16813,DSM 100868,['92'],Pandoraea pnomenusa
16814,DSM 14872,['1165'],Alkalispirochaeta americana
16815,DSM 16661,"['829', 'J420']",Thioreductor micantisoli
16816,DSM 110303,['92'],Staphylococcus lugdunensis
16817,DSM 106138,['220'],Phage (phagum)
16818,DSM 70742,['85'],Dekkera bruxellensis
16819,DSM 1972,"['31', '104', '545', '693', '830', '1076b', '1140', 'J14', 'J75', 'J346', 'J582']",Bacillus sp.
16820,DSM 102588,['830'],Chryseobacterium sp.
16821,DSM 30593,['830'],Heyndrickxia ginsengihumi
16822,DSM 53527,['9'],Sorangium cellulosum
16823,DSM 51523,['9'],Corallococcus coralloides
16824,DSM 103186,['92'],Agrococcus sp.
16825,DSM 44818,"['514', '1009', 'J720']",Salinispora tropica
16826,DSM 45584,"['553', '554', 'J43']",Saccharopolyspora phatthalungensis
16827,DSM 17896,"['638', 'J730']",Limosilactobacillus secaliphilus
16828,DSM 2071,"['11', '92', '110', '693', 'J2', 'J13', 'J14', 'J84', 'J469']",Streptococcus pyogenes
16829,DSM 110981,['215'],Acetatifactor aquisgranensis
16830,DSM 10564,"['1', 'J22']",Sphingomonas asaccharolytica
16831,DSM 20376,"['92', '693']",Enterococcus faecalis
16832,DSM 18877,['1098'],Archaeoglobus infectus
16833,DSM 40794,"['65', '84', 'J58']",Streptomyces sp.
16834,DSM 9824,['31'],Bacillus sp.
16835,DSM 944,"['1', '119', '189', '535', '605a', '664', '830']",Pyrenochaeta sp.
16836,DSM 10535,"['215', '693', '703', '1190', '1675']",Campylobacter sputorum subsp. sputorum
16837,DSM 29698,['298'],Anaerobium acetethylicum
16838,DSM 105760,"['65', '84', 'J43']",Streptomyces tunisialbus
16839,DSM 24044,"['215', '693']",Enterococcus viikkiensis
16840,DSM 4005,"['65', '84', '402', 'J42', 'J43', 'J58', 'J66']",Alicyclobacillus cycloheptanicus
16841,DSM 9511,"['1a', 'J75']",Robbsia andropogonis
16842,DSM 44791,"['535', '693', 'J28']",Corynebacterium aquilae
16843,DSM 7527,['220'],Pseudomonas rhodesiae
16844,DSM 6049,['98'],Rhizobium sp.
16845,DSM 40348,"['65', '84', 'J50']",Streptomyces parvus
16846,DSM 51195,['9'],Corallococcus coralloides
16847,DSM 2250,"['1', '92', '110', '120b', '514', '693', '830', 'J14', 'J1110']",Providencia stuartii
16848,DSM 26432,['514'],Roseivivax isoporae
16849,DSM 10241,"['92', '830', '1613', '1618', '1625', '1626', 'J28']",Brachybacterium conglomeratum
16850,DSM 20030,"['1', '92', 'J475']",Micrococcus luteus
16851,DSM 30549,['220'],Staphylococcus hominis
16852,DSM 63352,['310'],Curvularia indica
16853,DSM 104297,['514'],Metabacillus iocasae
16854,DSM 41290,"['65', '84']",Streptomyces lavendulae subsp. lavendulae
16855,DSM 9415,['627'],Pseudoalteromonas piscicida
16856,DSM 53458,['9'],Sorangium cellulosum
16857,DSM 2034,"['11', '92', '193', '693', 'J12', 'J13', 'J16', 'J17', 'J22', 'J77', 'J84']",Desulfobacter postgatei
16858,DSM 8372,"['1', 'J22']",Brevibacillus agri
16859,DSM 51211,['9'],Corallococcus coralloides
16860,DSM 102919,"['65', '554']",Nonomuraea deserti
16861,DSM 105030,['535'],Izhakiella australiensis
16862,DSM 52965,['9'],Nannocystis exedens subsp. aggregans
16863,DSM 14481,"['1', '92']",Exiguobacterium undae
16864,DSM 53634,['9'],Corallococcus coralloides
16865,DSM 28751,"['92', 'J475']",Frigoribacterium endophyticum
16866,DSM 19595,"['514', 'J118']",Henriciella marina
16867,DSM 52605,['9'],Archangium gephyra
16868,DSM 41997,"['65', '84']",Streptomyces turgidiscabies
16869,DSM 21880,"['104', '693', 'J14', 'J740']",Tonsilliphilus suis
16870,DSM 26701,"['830', '987', 'J346']",Hymenobacter latericoloratus
16871,DSM 23249,['220'],Yersinia enterocolitica
16872,DSM 6621,['63'],Desulfovibrio vulgaris
16873,DSM 41338,"['65', '84']",Streptomyces sp.
16874,DSM 3300,['311'],Sporomusa ovata
16875,DSM 24292,['693'],Campylobacter jejuni
16876,DSM 26422,"['1630', '1630c', 'J1004']",Nitrososphaera viennensis
16877,DSM 6341,"['90', '453']",Aneurinibacillus thermoaerophilus
16878,DSM 44740,"['83', '514', '535']",Nocardiopsis sp.
16879,DSM 42080,"['65', '84']",Streptomyces abietis
16880,DSM 2832,"['1', '98', '119', '220', '514', '535', '830']",Methanoculleus thermophilus
16881,DSM 25230,['514'],Maribacter vaceletii
16882,DSM 18764,"['693', '1203a', 'J14']",Bacteroides nordii
16883,DSM 103602,"['813b', 'J1157']",Desulfonatronum parangueonense
16884,DSM 46827,"['65', '514']",Blastococcus sp.
16885,DSM 44761,"['65', '84', '554']",Actinomadura nitritigenes
16886,DSM 104282,['693'],Gardnerella vaginalis
16887,DSM 44639,"['65', '554', 'J43', 'J57']",Amycolatopsis albidiflava
16888,DSM 5605,"['617', 'J118']",Oceanospirillum vagum
16889,DSM 20703,"['413', '693']",Campylobacter ureolyticus
16890,DSM 20580,"['53', 'J22']",Kurthia zopfii
16891,DSM 10374,"['1', '220', '735', '830']",Morchella esculenta
16892,DSM 53253,['9'],Sorangium cellulosum
16893,DSM 115984,"['92', '693']",Achromobacter insuavis
16894,DSM 43241,"['65', '535', 'J43', 'J57']",Rhodococcus rhodochrous
16895,DSM 17804,['535'],Paraburkholderia terrae
16896,DSM 102516,['98'],Rhizobium sp.
16897,DSM 17141,['1061'],Anoxybacillus thermarum
16898,DSM 103337,['830'],Sphingomonas montana
16899,DSM 3483,"['190', 'J30']",Amauroascus verrucosus
16900,DSM 43585,"['65', '535']",Rhodococcus sp.
16901,DSM 103257,['381'],Escherichia coli
16902,DSM 30979,['92'],Staphylococcus lugdunensis
16903,DSM 104126,"['11', 'J853']",Apilactobacillus micheneri
16904,DSM 46043,['426'],Rhodococcus ruber
16905,DSM 15029,"['1', 'J22']",Bacillus spizizenii
16906,DSM 1422,"['1', '92', '104c', '110', '220', '453', '535', '693', '909', 'J144']",Rhodococcus sp.
16907,DSM 41558,['65'],Streptomyces rimosus subsp. rimosus
16908,DSM 104047,['693'],Enterococcus wangshanyuanii
16909,DSM 22825,"['92', 'J26']",Arthrobacter livingstonensis
16910,DSM 20203,"['11', 'J13', 'J84']",Fructilactobacillus fructivorans
16911,DSM 12485,['1'],Serratia marcescens
16912,DSM 46467,['65'],Streptomyces sp.
16913,DSM 109,"['1', '11', '27', '58', '63', '65', '78', '84', '90', '92', '104', '104b', '104c', '110', '119', '129', '141a', '186', '189', '215', '215c', '220', '339', '339a', '381', '513', '514', '514f', '535', '545', '553', '554', '585', '645', '693', '830', '987', '1076b', '1159', '1190', '1203', '1203a', '1277a', '1429', '1523', '1592', '1593', '1611', '1635', '1669', '1695', '1699', '1704', '1715', '1732', '1775', 'J14', 'J28', 'J51', 'J118', 'J282', 'J346', 'J386', 'J530', 'J1130', 'J1234', 'J1291']",Rhodocyclus tenuis
16914,DSM 19366,['514'],Chryseomicrobium sp.
16915,DSM 52271,['9'],Myxococcus virescens
16916,DSM 584,"['71', '503', '504']",Acidithiobacillus ferrooxidans
16917,DSM 40643,['65'],Kitasatospora aureofaciens
16918,DSM 111728,['88'],Nanobdella aerobiophila
16919,DSM 12233,['191'],Verticillium longisporum
16920,DSM 43566,"['65', '535']",Rhodococcus ruber
16921,DSM 105799,['830'],Spirosoma pollinicola
16922,DSM 29565,"['129', '186']",Piskurozyma tuonelana
16923,DSM 8347,['381'],Escherichia coli
16924,DSM 106640,['54'],Entonaema liquescens
16925,DSM 116515,['372'],Haloferax sulfurifontis
16926,DSM 52996,['9'],Nannocystis exedens subsp. cinnabaria
16927,DSM 9748,['31'],Alkalihalophilus pseudofirmus
16928,DSM 21608,['514'],Haloferula luteola
16929,DSM 44118,"['65', '215', '535', 'J43']",Tsukamurella pseudospumae
16930,DSM 11700,"['90', '514']",Sulfitobacter sp.
16931,DSM 105478,['535'],Caviibacterium pharyngocola
16932,DSM 51221,['9'],Corallococcus coralloides
16933,DSM 6962,"['92', '693']",Acinetobacter haemolyticus
16934,DSM 17458,"['92', 'J28']",Georgenia ruanii
16935,DSM 609,['1'],Bacillus cereus
16936,DSM 23288,['92'],Conexibacter arvalis
16937,DSM 106052,['693'],Paenibacillus larvae
16938,DSM 11891,['514'],Jeotgalibacillus marinus
16939,DSM 16550,"['220', '462']",Rhodococcus sp.
16940,DSM 43363,"['65', '84', 'J104']",Micromonospora peucetia
16941,DSM 21474,"['514c', 'J118']",Vibrio halioticoli
16942,DSM 52216,['9'],Myxococcus stipitatus
16943,DSM 52682,['9'],Cystobacter gracilis
16944,DSM 41947,"['65', '84', 'J415']",Streptomyces rubidus
16945,DSM 109289,['92'],Klebsiella pneumoniae
16946,DSM 15013,['514a'],Shewanella denitrificans
16947,DSM 22229,"['429', 'J469']",Prevotella dentasini
16948,DSM 52606,['9'],Archangium gephyra
16949,DSM 23154,"['830c', 'J346']",Dyella soli
16950,DSM 1489,"['310', '428', '514a']",Saprolegnia ferax
16951,DSM 41974,"['65', '84']",Streptomyces sp.
16952,DSM 45669,['65'],Amycolatopsis granulosa
16953,DSM 43906,"['65', '554', 'J51', 'J61', 'J104']",Micromonospora fulviviridis
16954,DSM 18854,['1487'],Magnetovibrio blakemorei
16955,DSM 27500,"['846a', 'J989']",Aminobacterium thunnarium
16956,DSM 20627,"['92', '693', 'J27', 'J70']",Streptococcus oralis subsp. oralis
16957,DSM 17861,['1186'],Granulibacter bethesdensis
16958,DSM 62839,['129'],Penicillium aurantiogriseum
16959,DSM 70865,"['186', 'J25', 'J30']",Rhodotorula pustula
16960,DSM 52562,['9'],Myxococcus virescens
16961,DSM 2530,"['92', '189', '220', '514', '830']",Psilocybe cubensis
16962,DSM 101780,"['1011', 'J1093']",Sulfurovum riftiae
16963,DSM 44235,['535'],Rhodococcus erythropolis
16964,DSM 19141,['514'],Vibrio rumoiensis
16965,DSM 53688,['9'],Stigmatella erecta
16966,DSM 53158,['9'],Nannocystis pusilla
16967,DSM 15305,['92'],Planococcus maitriensis
16968,DSM 14885,['514a'],Rheinheimera baltica
16969,DSM 100515,"['65', '830']",Nocardia zhihengii
16970,DSM 44492,"['250', '645']",Mycobacterium goodii
16971,DSM 45392,"['535', '535a']",Corynebacterium humireducens
16972,DSM 109302,['92'],Klebsiella pneumoniae
16973,DSM 22084,"['186', 'J25', 'J30']",Prototheca cutis
16974,DSM 112922,['381'],Phage (phagum)
16975,DSM 2187,"['1', '90', '92', '535', '693', '830', '1200', '1326', 'J12']",Mucor inaequisporus
16976,DSM 103538,"['92', '381']",Escherichia coli
16977,DSM 45141,['535'],Rhodococcus cercidiphylli
16978,DSM 29995,"['1249', 'J683']",Geoalkalibacter subterraneus
16979,DSM 653,"['1', '58', '81', '220a', '311c', '457', '533', 'J12', 'J13', 'J14', 'J154']",Achromobacter ruhlandii
16980,DSM 373,"['3', '90', '189', '441']",Azotobacter beijerinckii
16981,DSM 51579,['9'],Corallococcus coralloides
16982,DSM 9659,['92'],Brevibacterium casei
16983,DSM 40738,"['65', '555', 'J42']",Streptomyces somaliensis
16984,DSM 46032,['426'],Nocardia brasiliensis
16985,DSM 51908,['9'],Corallococcus exiguus
16986,DSM 22805,['830c'],Candidimonas bauzanensis
16987,DSM 1981,"['92', '98', '104', '514', '545', '693', '830', '1076b', 'J26', 'J28', 'J475']",Ensifer meliloti
16988,DSM 25207,['220'],Chryseobacterium piscium
16989,DSM 41741,"['65', '84', '547', 'J58', 'J104']",Streptomyces thermoalcalitolerans
16990,DSM 105389,"['92', '381']",Escherichia coli
16991,DSM 23126,['514'],Marinococcus luteus
16992,DSM 22950,['830'],Devosia psychrophila
16993,DSM 112671,['92'],Actinotalea ferrariae
16994,DSM 24111,"['92', '693']",Staphylococcus haemolyticus
16995,DSM 6083,['220'],Pseudomonas balearica
16996,DSM 43484,['354'],Mycobacterium chelonae
16997,DSM 43791,['65'],Laceyella sacchari
16998,DSM 107753,['381'],Escherichia coli
16999,DSM 44260,"['65', 'J43', 'J52']",Actinokineospora terrae
17000,DSM 28718,"['129', '186']",Candida glabrata
17001,DSM 21986,['514'],Aliifodinibius roseus
17002,DSM 5079,"['1', 'J12']",Yokenella regensburgei
17003,DSM 24241,['1'],Pantoea conspicua
17004,DSM 46691,"['535', '535a']",Risungbinella massiliensis
17005,DSM 43401,"['65', '84']",Saccharopolyspora hirsuta
17006,DSM 5451,['381'],Escherichia coli
17007,DSM 23371,"['78', '693', 'J14']",Parabacteroides gordonii
17008,DSM 3602,['459'],Pseudomonas sp.
17009,DSM 23889,"['92', 'J475']",Microcella frigidaquae
17010,DSM 51999,['9'],Myxococcus fulvus
17011,DSM 18842,['514'],Tenacibaculum discolor
17012,DSM 52255,['9'],Myxococcus virescens
17013,DSM 19339,"['104', '693', 'J14', 'J676']",Segatella maculosa
17014,DSM 7285,"['1', 'J27', 'J75']",Novosphingobium rosa
17015,DSM 3656,['67'],Cytophaga sp.
17016,DSM 116320,['1076b'],Mesomycoplasma hyorhinis
17017,DSM 62570,['310'],Drechslera erythrospila
17018,DSM 12518,['514'],Halomonas sp.
17019,DSM 19564,['1'],Methylobacterium gregans
17020,DSM 100864,"['92', '693']",Myroides odoratimimus
17021,DSM 101002,['220'],Cytobacillus praedii
17022,DSM 18677,['220'],Paenibacillus ginsengarvi
17023,DSM 51740,['9'],Corallococcus coralloides
17024,DSM 19796,['514'],Pontibacillus halophilus
17025,DSM 106000,"['129', '186']",Kodamaea ohmeri
17026,DSM 51653,['9'],Corallococcus coralloides
17027,DSM 106942,['514f'],Vibrio taketomensis
17028,DSM 111733,['11'],Lacticaseibacillus rhamnosus
17029,DSM 51718,['9'],Corallococcus coralloides
17030,DSM 22380,"['514', 'J118']",Endozoicomonas elysicola
17031,DSM 40745,"['65', '84', '252']",Streptomyces werraensis
17032,DSM 41059,"['65', '84']",Streptomyces sp.
17033,DSM 28591,['381'],Bacillus licheniformis
17034,DSM 53469,['9'],Sorangium cellulosum
17035,DSM 46615,"['92', '105']",Gluconobacter oxydans
17036,DSM 103164,"['92', 'J26', 'J43']",Naumannella cuiyingiana
17037,DSM 23574,['535'],Pandoraea oxalativorans
17038,DSM 102575,['220'],Rossellomorea sp.
17039,DSM 114157,['1593'],Leptolyngbya sp.
17040,DSM 45872,['553'],Nocardia zapadnayensis
17041,DSM 14800,"['11', 'J111']",Pediococcus claussenii
17042,DSM 7140,['381'],Escherichia coli
17043,DSM 15853,['92'],Kocuria sp.
17044,DSM 117281,"['92', '693']",Streptococcus pneumoniae
17045,DSM 51179,['9'],Corallococcus coralloides
17046,DSM 103058,['92'],Microbacterium sp.
17047,DSM 6801,"['220', '531']",Bacillus aminovorans
17048,DSM 109312,['92'],Klebsiella pneumoniae
17049,DSM 9663,['220'],Serratia fonticola
17050,DSM 44484,"['65', 'J43']",Nocardia cyriacigeorgica
17051,DSM 21123,['830'],Paenibacillus sp.
17052,DSM 25288,['535'],Aeromonas diversa
17053,DSM 9545,['671'],Caldicellulosiruptor acetigenus
17054,DSM 114898,['514'],Phage (phagum)
17055,DSM 16172,['90'],Hydnum rufescens
17056,DSM 30709,['220'],Bacillus pumilus
17057,DSM 9508,['683'],Tissierella creatinini
17058,DSM 16549,['1'],Luteibacter rhizovicinus
17059,DSM 41950,"['65', '84']",Streptomyces hypolithicus
17060,DSM 19332,"['98', 'J346']",Rhizobium fabae
17061,DSM 25877,['220'],Lysinibacillus sphaericus
17062,DSM 107184,['90'],Chlorociboria aeruginascens
17063,DSM 22929,"['104', 'J674']",Propionispira arcuata
17064,DSM 27342,"['1', '535']",Phytobacter palmae
17065,DSM 25184,['585'],Legionella pneumophila subsp. pneumophila
17066,DSM 52121,['9'],Myxococcus fulvus
17067,DSM 114659,['92'],Pantoea septica
17068,DSM 26145,"['31', 'J181']",Halalkalibacterium ligniniphilum
17069,DSM 19730,['545'],Aquamicrobium ahrensii
17070,DSM 29515,"['830', 'J346']",Roseomonas riguiloci
17071,DSM 105786,"['65', '84']",Streptomyces xiangluensis
17072,DSM 13069,['92'],Pseudoglutamicibacter albus
17073,DSM 102157,['92'],Arthrobacter sp.
17074,DSM 16310,['514'],Jannaschia cystaugens
17075,DSM 44229,"['65', 'J44']",Saccharothrix espanaensis
17076,DSM 45492,['65'],Actinokineospora fastidiosa
17077,DSM 6916,"['90', 'J30', 'J35']",Trichophyton benhamiae
17078,DSM 103930,"['129', '186']",Tausonia pullulans
17079,DSM 19167,['220'],Paenibacillus sp.
17080,DSM 25811,['545'],Niabella drilacis
17081,DSM 22418,['830'],Sphingobacterium psychroaquaticum
17082,DSM 2062,"['53', '92', '172', '514', '693', 'J13', 'J22', 'J26', 'J27', 'J70', 'J84', 'J156', 'J256']",Flammeovirga sp.
17083,DSM 9795,['90'],Trametes pubescens
17084,DSM 3088,"['90', '92']",Rhodonia placenta
17085,DSM 1049,"['1', '1a', '11', '54a', '58', '65', '78', '92', '98', '104', '104c', '123', '215', '220', '252', '339', '381', '514', '514c', '535', '535a', '693', '753', '830', '948', '1203a', '1210a', 'J13', 'J14', 'J26', 'J27', 'J28', 'J346', 'J606']",Xanthomonas arboricola
17086,DSM 4594,"['1', '65', '514', '554', '987', 'J12', 'J22', 'J118']",Rahnella aquatilis
17087,DSM 112931,['381'],Phage (phagum)
17088,DSM 27144,['830c'],Inhella fonticola
17089,DSM 16337,['220'],Xenorhabdus ehlersii
17090,DSM 2555,"['1', '63', '78c', '92', '104', '514a', 'J14', 'J74']",Desulfomicrobium baculatum
17091,DSM 17251,['141'],Methanococcus aeolicus
17092,DSM 9309,"['1', '535']",Acinetobacter genospecies 3
17093,DSM 105337,"['215', '535']",Rhodococcus coprophilus
17094,DSM 45209,"['514', '1342']",Amycolatopsis sp.
17095,DSM 19186,"['830a', 'J12']",Pseudomonas mucidolens
17096,DSM 52548,['9'],Myxococcus virescens
17097,DSM 114911,['514'],Phage (phagum)
17098,DSM 45901,"['65', '535', '554']",Micromonospora sp.
17099,DSM 103490,['830c'],Polynucleobacter paneuropaeus
17100,DSM 108238,"['693', '1203a']",Flavonifractor plautii
17101,DSM 6609,"['220a', '457']",Pseudomonas fluorescens
17102,DSM 41652,"['65', '84', 'J42']",Kitasatospora cinereorecta
17103,DSM 24905,"['838', 'J907']",Geomobilimonas luticola
17104,DSM 113686,['92'],Staphylococcus aureus
17105,DSM 108161,"['693', '1203a']",Bacteroides thetaiotaomicron
17106,DSM 100034,['220'],Peribacillus gossypii
17107,DSM 1004,"['1', '65', '84', '90', '92', '104', '104b', '104c', '220', '260', '271', '282b', '339', '339a', '514', '514f', '535', '545', '553', '621', '634', '693', '785', '830', '1101', '1279', '1560', 'J26', 'J27', 'J346', 'J363', 'J443', 'J617', 'J860', 'J1068', 'J1069', 'J1112']",Agrocybe aegerita
17108,DSM 18446,['1070'],Ensifer mexicanus
17109,DSM 13734,"['58', 'J13', 'J14']",Bifidobacterium scardovii
17110,DSM 109427,['92'],Klebsiella pneumoniae
17111,DSM 8373,['1'],Aneurinibacillus migulanus
17112,DSM 19553,['1a'],Cupriavidus pinatubonensis
17113,DSM 19041,"['92', '693']",Staphylococcus aureus
17114,DSM 23312,['830'],Belnapia rosea
17115,DSM 102969,['830'],Oharaeibacter diazotrophicus
17116,DSM 101779,"['65', '84']",Kitasatospora sp.
17117,DSM 1345,"['141b', '142a', '393', 'J262']",Yarrowia lipolytica
17118,DSM 113065,"['92', '693']",Salmonella enterica
17119,DSM 25729,['830'],Pedobacter soli
17120,DSM 110572,['11'],Limosilactobacillus rudii
17121,DSM 15089,"['1a', '957', 'J22']",Microvirgula aerodenitrificans
17122,DSM 45782,"['65', '535', '553', '554', 'J61']",Micromonospora maritima
17123,DSM 20589,['92'],Carnobacterium divergens
17124,DSM 27489,"['129', '186']",Cystofilobasidium alribaticum
17125,DSM 40558,"['65', '84', 'J42', 'J50']",Streptomyces netropsis
17126,DSM 26952,['535'],Phage (phagum)
17127,DSM 100203,['1'],Kosakonia sacchari
17128,DSM 19547,"['514', 'J118']",Tranquillimonas alkanivorans
17129,DSM 10786,"['129', '381']",Escherichia coli
17130,DSM 10347,"['104c', '215', '465g', '830', '986', 'J346']",Williamsia sp.
17131,DSM 43547,"['354', '645']",Mycobacterium gilvum
17132,DSM 112616,['92'],Escherichia coli
17133,DSM 102036,['381'],Pseudomonas fildesensis
17134,DSM 109383,['92'],Klebsiella pneumoniae
17135,DSM 41701,"['65', '84', '252', 'J42']",Streptomyces gobitricini
17136,DSM 114711,['514f'],Vibrio breoganii
17137,DSM 3076,"['65', '129', '220']",Rutstroemia cuniculi
17138,DSM 103637,['1203a'],Bacteroides togonis
17139,DSM 21623,"['220', 'J75']",Virgibacillus halophilus
17140,DSM 45421,['65'],Geodermatophilus telluris
17141,DSM 3051,"['1', '220', '514b', '598', '830', 'J604']",Halomonas utahensis
17142,DSM 44493,"['645', 'J26', 'J386']",Mycobacterium wolinskyi
17143,DSM 114853,['1723a'],Ministeria vibrans
17144,DSM 19735,['1279'],Helicobacter suis
17145,DSM 109321,['92'],Klebsiella pneumoniae
17146,DSM 62870,['129'],Penicillium spinulosum
17147,DSM 53017,['9'],Nannocystis exedens
17148,DSM 103741,['830'],Methylorubrum rhodesianum
17149,DSM 103877,['381'],Phage (phagum)
17150,DSM 24040,['600a'],Rhodopirellula islandica
17151,DSM 102340,['92'],Arthrobacter sp.
17152,DSM 7369,['381'],Escherichia coli
17153,DSM 104046,['92'],Dermabacter sp.
17154,DSM 53384,['9'],Sorangium cellulosum
17155,DSM 44498,"['535', 'J43']",Rhodococcus koreensis
17156,DSM 103537,['1560'],Aureliella helgolandensis
17157,DSM 42010,['65'],Streptomyces samsunensis
17158,DSM 24086,['830'],Polynucleobacter paneuropaeus
17159,DSM 105615,['129'],Holtermanniella takashimae
17160,DSM 27562,['1520'],Halopiger goleimassiliensis
17161,DSM 17546,['514'],Bacillus sp.
17162,DSM 6724,['516'],Dictyoglomus turgidum
17163,DSM 29979,['514'],Domibacillus iocasae
17164,DSM 29275,"['381', '535']",Pseudomonas aeruginosa
17165,DSM 10200,"['65', '84', '381', '987']",Escherichia coli
17166,DSM 11954,['186'],Kluyveromyces marxianus
17167,DSM 8545,['310'],Botryobasidium botryosum
17168,DSM 30131,"['98', '830', 'J254']",Bradyrhizobium japonicum
17169,DSM 44112,"['65', '84']",Streptosporangium vulgare subsp. antibioticum
17170,DSM 30577,['220'],Micrococcus luteus
17171,DSM 40259,"['65', '84', 'J58']",Streptomyces netropsis
17172,DSM 21619,"['514', 'J118']",Terribacillus saccharophilus
17173,DSM 14773,"['465', '586', '830']",Alicycliphilus denitrificans
17174,DSM 504,"['1', '1a', '7', '35', '54', '90', '123', '220', '514', '535', '535b', '545', 'J22', 'J93', 'J118']",Acidithiobacillus thiooxidans
17175,DSM 2419,"['129', '514c', '693', '830', '960', 'J835']",Penicillium spinulosum
17176,DSM 26801,['124'],Desulfolucanica intricata
17177,DSM 30678,['1'],Bacillus pumilus
17178,DSM 101427,['1673'],Sodalinema stali
17179,DSM 12221,"['92', '693']",Streptococcus thoraltensis
17180,DSM 30183,"['1', '54']",Pantoea cypripedii
17181,DSM 17421,"['92', '693']",Staphylococcus hyicus
17182,DSM 19471,['514'],Marinobacter goseongensis
17183,DSM 18118,['830'],Hydrogenophaga sp.
17184,DSM 16545,['830'],Dyadobacter fermentans
17185,DSM 28716,['104b'],Clostridium jeddahitimonense
17186,DSM 25267,['92'],Brevibacterium sp.
17187,DSM 11943,['129'],Candida albicans
17188,DSM 102398,['92'],Cellulomonas sp.
17189,DSM 15453,"['514', 'J26', 'J475']",Brevibacterium celere
17190,DSM 40144,"['65', 'J42', 'J50']",Streptomyces coeruleofuscus
17191,DSM 18812,['1'],Xanthomonas codiaei
17192,DSM 11557,"['7', '37', '120b', '428']",Aquaspirillum putridiconchylium
17193,DSM 10294,"['220', '514', '535', '641', '693', '704', '1210c', '1534', 'J1123', 'J1124']",Butyrivibrio sp.
17194,DSM 12283,['810'],Trichophyton interdigitale
17195,DSM 25311,['104'],Mobiluncus mulieris
17196,DSM 4705,['189'],Ascocoryne sarcoides
17197,DSM 18597,"['92', '693']",Staphylococcus aureus
17198,DSM 17175,['220'],Pseudoxanthomonas suwonensis
17199,DSM 108653,"['65', '535', '830']",Nocardioides glacieisoli
17200,DSM 15474,"['993a', 'J486']",Nesterenkonia halotolerans
17201,DSM 26195,"['220', '514']",Jeotgalibacillus sp.
17202,DSM 3988,"['78', '104']",Eubacterium ventriosum
17203,DSM 13486,['120a'],Methanosarcina lacustris
17204,DSM 15206,['503'],Clostridium tunisiense
17205,DSM 102082,['110a'],Neglecta timonensis
17206,DSM 45487,"['65', '535']",Micromonospora aurantiaca
17207,DSM 46713,['645'],Mycobacterium lutetiense
17208,DSM 19434,['514'],Halomonas andesensis
17209,DSM 13664,['830'],Novosphingobium lentum
17210,DSM 100090,"['90', '129']",Geosmithia sp.
17211,DSM 1174,"['78', '90', '104c', '190', '693', '834', '1203', '1203a']",Actinomucor elegans
17212,DSM 30508,['220'],Micrococcus luteus
17213,DSM 44144,['535'],Nocardia farcinica
17214,DSM 20068,"['92', '693']",Streptococcus sanguinis
17215,DSM 19925,['514'],Virgibacillus sp.
17216,DSM 43295,"['65', '83', 'J104']",Micromonospora sp.
17217,DSM 103122,['110'],Ezakiella massiliensis
17218,DSM 24576,['514'],Algoriphagus trabzonensis
17219,DSM 102708,['98'],Rhizobium sp.
17220,DSM 23820,['514'],Planococcus salinarum
17221,DSM 101771,['830'],Spirosoma lacussanchae
17222,DSM 115448,['92'],Staphylococcus aureus
17223,DSM 25036,['693'],Streptococcus urinalis
17224,DSM 9806,['31'],Bacillus sp.
17225,DSM 111812,['104c'],Clostridium thailandense
17226,DSM 759,"['115', '246', '514']",Vibrio natriegens
17227,DSM 23468,['830'],Oryzihumus sp.
17228,DSM 110085,"['92', '693']",Serratia nevei
17229,DSM 109042,['220'],Paenibacillus sp.
17230,DSM 26505,['514'],Alteromonas macleodii
17231,DSM 41828,"['65', '84', '252']",Streptomyces malachitospinus
17232,DSM 41654,"['65', '252', 'J58']",Kitasatospora kifunensis
17233,DSM 109592,"['92', '693']",Enterobacter cloacae
17234,DSM 114887,['514'],Phage (phagum)
17235,DSM 11326,"['90', '573', '645', '830']",Hirneola auricula-judae
17236,DSM 44905,"['535', 'J26', 'J28']",Kocuria himachalensis
17237,DSM 28114,"['92', 'J28']",Agrococcus terreus
17238,DSM 70358,['186'],Hyphopichia burtonii
17239,DSM 5545,['545'],Bacillus subtilis
17240,DSM 22070,"['78', '693']",Leptotrichia trevisanii
17241,DSM 112941,['381'],Phage (phagum)
